date,state,county,locality,habitat,latitude,longitude,masl,subfamily,ant.genus,ant.species,code,collection,collector
1/1/1900,massachusetts,norfolk,brookline,NA,NA,NA,NA,Formicinae,Lasius,americanus,lasame,Wheeler ; Ants of NE,abbott
1/1/1900,massachusetts,hampden,springfield,NA,NA,NA,NA,Formicinae,Formica,subintegra,forsub2,Wheeler ; Ants of NE,allen
1/1/1900,massachusetts,hampden,springfield,NA,NA,NA,NA,Formicinae,Formica,subsericea,forsub3,Wheeler ; Ants of NE,allen
1/1/1900,massachusetts,norfolk,blue hills,NA,NA,NA,NA,Formicinae,Camponotus,pennsylvanicus,campen,Wheeler ; Ants of NE,amnh
1/1/1900,massachusetts,suffolk,boston,NA,NA,NA,NA,Formicinae,Camponotus,pennsylvanicus,campen,Wheeler ; Ants of NE,amnh
1/1/1900,massachusetts,suffolk,boston,NA,NA,NA,NA,Formicinae,Formica,dolosa,fordol,Wheeler ; Ants of NE,amnh
1/1/1900,massachusetts,suffolk,boston,NA,NA,NA,NA,Formicinae,Formica,pallidefulva,forpal,Wheeler ; Ants of NE,amnh
1/1/1900,massachusetts,suffolk,readville,NA,NA,NA,NA,Formicinae,Formica,subsericea,forsub3,Wheeler ; Ants of NE,amnh
1/1/1900,massachusetts,suffolk,boston,NA,NA,NA,NA,Formicinae,Lasius,interjectus,lasint,Wheeler ; Ants of NE,amnh
1/1/1900,massachusetts,hampden,lowell,NA,NA,NA,NA,Formicinae,Formica,exsectoides,forexs,Wheeler ; Ants of NE,blanchard
1/1/1900,connecticut,new haven,westville,NA,NA,NA,NA,Formicinae,Camponotus,castaneus,camcas,Wheeler ; Ants of CT,Britton
1/1/1900,connecticut,fairfield,new canaan,NA,NA,NA,NA,Formicinae,Camponotus,chromaiodes,camchr,Wheeler ; Ants of CT,Britton
1/1/1900,connecticut,new haven,orange,NA,NA,NA,NA,Formicinae,Camponotus,chromaiodes,camchr,Wheeler ; Ants of CT,Britton
1/1/1900,connecticut,litchfield,new hartford,NA,NA,NA,NA,Formicinae,Camponotus,novaeboracensis,camnov,Wheeler ; Ants of CT,Britton
1/1/1900,connecticut,new haven,orange,NA,NA,NA,NA,Formicinae,Camponotus,novaeboracensis,camnov,Wheeler ; Ants of CT,Britton
1/1/1900,connecticut,fairfield,new canaan,NA,NA,NA,NA,Myrmicinae,Crematogaster,lineolata,crelin,Wheeler ; Ants of CT,Britton
1/1/1900,connecticut,new haven,new haven,NA,NA,NA,NA,Myrmicinae,Crematogaster,lineolata,crelin,Wheeler ; Ants of CT,Britton
1/1/1900,connecticut,new haven,new haven,NA,NA,NA,NA,Formicinae,Formica,dolosa,fordol,Wheeler ; Ants of CT,Britton
1/1/1900,connecticut,litchfield,new hartford,NA,NA,NA,NA,Formicinae,Formica,exsectoides,forexs,Wheeler ; Ants of CT,Britton
1/1/1900,connecticut,new haven,new haven,NA,NA,NA,NA,Formicinae,Formica,incerta,forinc,Wheeler ; Ants of CT,Britton
1/1/1900,connecticut,new haven,orange,NA,NA,NA,NA,Formicinae,Formica,incerta,forinc,Wheeler ; Ants of CT,Britton
1/1/1900,connecticut,litchfield,salisbury,NA,NA,NA,NA,Formicinae,Formica,incerta,forinc,Wheeler ; Ants of CT,Britton
1/1/1900,connecticut,litchfield,kent,NA,NA,NA,NA,Formicinae,Formica,neogagates,forneo1,Wheeler ; Ants of CT,Britton
