date,state,county,locality,habitat,latitude,longitude,masl,subfamily,ant.genus,ant.species,code,collection,collector
7/24/2006,labrador,,Menihek Siding Lab,N side of Marble Mt surface of pool,54.39589,-66.24726111,NA,Myrmicinae,Leptothorax,canadensis,lepcan,(YPM) Francoeur,R Pupedis
7/24/2006,labrador,,Menihek Siding Lab,N side of Marble Mt surface of pool,54.39589,-66.24726111,NA,Myrmicinae,Leptothorax,acervorum,lepace,(YPM) Francoeur,R Pupedis
7/24/2006,labrador,,Menihek Siding Lab,N side of Marble Mt surface of pool,54.39589,-66.24726111,NA,Myrmicinae,Myrmica,alaskensis,myrala,(YPM) Francoeur,R Pupedis
8/12/2012,vermont,orleans,NorthWoods sustainability center,NWSC 1,44.82854,-71.94804,425,Formicinae,Formica,argentea,forarg,AME 2012 0188,ARGiese
8/12/2012,vermont,orleans,NorthWoods sustainability center,NWSC 2,44.82854,-71.94804,425,Formicinae,Formica,argentea,forarg,AME 2012 0189,ARGiese
8/12/2012,vermont,orleans,NorthWoods sustainability center,NWSC 2,44.82854,-71.94804,425,Formicinae,Lasius,americanus,lasame,AME 2012 0190,ARGiese
8/12/2012,vermont,orleans,NorthWoods sustainability center,NWSC 2,44.82854,-71.94804,425,Myrmicinae,Myrmica,detritinodis,myrdet,AME 2012 0191,ARGiese
8/12/2012,vermont,orleans,NorthWoods sustainability center,NWSC 3,44.82854,-71.94804,425,Formicinae,Lasius,americanus,lasame,AME 2012 0192,ARGiese
8/12/2012,vermont,orleans,NorthWoods sustainability center,NWSC  4,44.82854,-71.94804,425,Formicinae,Formica,argentea,forarg,AME 2012 0193,ARGiese
8/12/2012,vermont,orleans,NorthWoods sustainability center,NWSC  4,44.82854,-71.94804,425,Formicinae,Lasius,americanus,lasame,AME 2012 0194,ARGiese
8/16/2012,vermont,orange,Richard Burrow's Farm,RBF 1,44.0968,-72.10697,236,Formicinae,Formica,subintegra,forsub2,AME 2012 0195,ARGiese
8/16/2012,vermont,orange,Richard Burrow's Farm,RBF 1,44.0968,-72.10697,236,Formicinae,Formica,lasioides,forlas,AME 2012 0196,ARGiese
8/16/2012,vermont,orange,Richard Burrow's Farm,RBF 1,44.0968,-72.10697,236,Myrmicinae,Myrmica,pinetorum,myrpin,AME 2012 0197,ARGiese
8/16/2012,vermont,orange,Richard Burrow's Farm,RBF 2,44.0968,-72.10697,236,Myrmicinae,Crematogaster,cerasi,crecer,AME 2012 0198,ARGiese
8/16/2012,vermont,orange,Richard Burrow's Farm,RBF 3,44.0968,-72.10697,236,Formicinae,Lasius,nearcticus,lasnea,AME 2012 0199,ARGiese
8/16/2012,vermont,orange,Richard Burrow's Farm,RBF 8c,44.0968,-72.10697,236,Myrmicinae,Aphaenogaster,fulva,aphful,AME 2012 0200,ARGiese
8/16/2012,vermont,orange,Richard Burrow's Farm,RBF 8b,44.0968,-72.10697,236,Formicinae,Lasius,americanus,lasame,AME 2012 0201,ARGiese
8/16/2012,vermont,orange,Richard Burrow's Farm,RBF 4,44.0968,-72.10697,236,Formicinae,Lasius,americanus,lasame,AME 2012 0202,ARGiese
8/16/2012,vermont,orange,Richard Burrow's Farm,RBF 8a,44.0968,-72.10697,236,Myrmicinae,Aphaenogaster,fulva,aphful,AME 2012 0203,ARGiese
8/3/2011,vermont,orleans,Jobs Pond shore,JP 1,44.76093,-71.95517,648,Myrmicinae,Stenamma,diecki,stedie,AME 2012 0204,ARGiese
8/16/2012,vermont,orange,Richard Burrow's Farm,RBF 9,44.0968,-72.10697,236,Formicinae,Formica,subsericea,forsub3,AME 2012 0205,ARGiese
8/16/2012,vermont,orange,Richard Burrow's Farm,RBF 5,44.0968,-72.10697,236,Myrmicinae,Aphaenogaster,fulva,aphful,AME 2012 0206,ARGiese
8/16/2012,vermont,orange,Richard Burrow's Farm,RBF 5,44.0968,-72.10697,236,Myrmicinae,Temnothorax,longispinosus,temlon,AME 2012 0207,ARGiese
