"node","name","value","type","scope","line.in","line.out"
1,"wd","\"".\""","Data","R_GlobalEnv","9","39"
2,"genus","NotRecorded","Data","R_GlobalEnv","12","NA"
3,"species","NotRecorded","Data","R_GlobalEnv","13","NA"
4,"leftlon","NotRecorded","Data","R_GlobalEnv","17","NA"
5,"rightlon","NotRecorded","Data","R_GlobalEnv","18","NA"
6,"lowerlat","NotRecorded","Data","R_GlobalEnv","19","NA"
7,"upperlat","NotRecorded","Data","R_GlobalEnv","20","NA"
8,"path","NotRecorded","Data","R_GlobalEnv","23","NA"
9,"path","\""../data\""","Data","R_GlobalEnv","25","27 28"
10,"filename","\""GspeciesBC_2.5.grd\""","Data","R_GlobalEnv","26","27 28"
11,"croppeddata","\""../data/GspeciesBC_2.5.grd\""","Data","R_GlobalEnv","28","NA"
12,"packs","/Users/annacalderon/Desktop/gENM/src/ddg/12-packs.csv","Snapshot","R_GlobalEnv","41","45 46"
13,"warning.msg","\""In  pacman::p_load(packs) :  Failed to install/load: packs\""","Exception","ddg.library","45","NA"
14,"leftlon","-99.2","Data","R_GlobalEnv","51","65 68 78"
15,"rightlon","-63","Data","R_GlobalEnv","52","65 68 78"
16,"lowerlat","23.6","Data","R_GlobalEnv","53","65 68 79"
17,"upperlat","45.5","Data","R_GlobalEnv","54","65 68 79"
18,"genus","\""Aphaenogaster\""","Data","R_GlobalEnv","56","57"
19,"species","\""picea\""","Data","R_GlobalEnv","56","57"
20,"rawdata","/Users/annacalderon/Desktop/gENM/src/ddg/20-rawdata-PARTIAL.csv","Snapshot","R_GlobalEnv","57","58 59"
21,"Gspecies","/Users/annacalderon/Desktop/gENM/src/ddg/21-Gspecies.csv","Snapshot","R_GlobalEnv","59","72 83"
22,"stateMapEnv","\""R_MAP_DATA_DIR\""","Data","ENV","NA","61"
23,"longrid","/Users/annacalderon/Desktop/gENM/src/ddg/23-longrid.csv","Snapshot","R_GlobalEnv","78","83"
24,"latgrid","/Users/annacalderon/Desktop/gENM/src/ddg/24-latgrid.csv","Snapshot","R_GlobalEnv","79","83"
25,"subs","NULL","Data","R_GlobalEnv","82","NA"
26,"i","724","Data","ENV","NA","83"
27,"j","438","Data","ENV","NA","83"
28,"gridsq","/Users/annacalderon/Desktop/gENM/src/ddg/28-gridsq.csv","Snapshot","ENV","NA","NA"
29,"subs","/Users/annacalderon/Desktop/gENM/src/ddg/29-subs.txt","Snapshot","R_GlobalEnv","83","93 96"
30,"gridsq","/Users/annacalderon/Desktop/gENM/src/ddg/30-gridsq.txt","Snapshot","R_GlobalEnv","83","NA"
31,"x","/Users/annacalderon/Desktop/gENM/src/ddg/31-x.txt","Snapshot","R_GlobalEnv","96","97"
32,"bg","/Users/annacalderon/Desktop/gENM/src/ddg/32-bg.txt","Snapshot","R_GlobalEnv","97","98"
33,"dev.off.33.pdf","/Users/annacalderon/Desktop/gENM/src/ddg/33-dev.off.33.pdf","File","undefined","NA","NA"
34,"error.msg","\""No procedure node found for SDM_template.R\""","Exception","ddg.library","105","NA"
