ddg.num	ddg.type	ddg.from	ddg.to
1	cf	p1	p2
2	cf	p2	p3
3	df.out	p3	d1
4	cf	p3	p4
5	df.in	d1	p4
6	df.out	p4	d2
7	cf	p4	p5
8	cf	p5	p6
9	df.in	d2	p6
10	df.out	p6	d3
11	cf	p6	p7
12	df.out	p7	d4
13	cf	p7	p8
14	df.in	d3	p8
15	df.in	d4	p8
16	cf	p8	p9
17	cf	p9	p10
18	cf	p10	p11
19	cf	p11	p12
20	cf	p12	p13
21	cf	p13	p14
22	df.out	p14	d5
23	cf	p14	p15
24	cf	p15	p16
25	df.out	p16	d6
26	cf	p16	p17
27	df.out	p17	d7
28	df.in	d6	p17
29	df.out	p17	d8
30	cf	p17	p18
31	df.in	d3	p18
32	df.out	p18	d9
33	cf	p18	p19
34	df.in	d8	p19
35	df.out	p19	d10
36	cf	p19	p20
37	df.in	d8	p20
38	df.in	d9	p20
39	df.out	p20	d11
40	cf	p20	p21
41	df.in	d11	p21
42	df.out	p21	d12
43	cf	p21	p22
44	df.in	d12	p22
45	cf	p22	p23
46	df.out	p23	d13
47	cf	p23	p24
48	df.out	p24	d14
49	cf	p24	p25
50	df.out	p25	d15
51	df.out	p1	d16
