ddg.type	ddg.num	ddg.name	ddg.value	ddg.return.linked	ddg.auto.created	ddg.time	ddg.snum	ddg.lnum
Start	1	gdistance.R	gdistance.R	FALSE	FALSE	10.348	0	NA
Operation	2	set.seed(13)	set.seed(13)	FALSE	FALSE	10.35	0	3
Operation	3	r <- raster(ncol = 3, nrow = 3)	r <- raster(ncol = 3, nrow = 3)	FALSE	FALSE	10.358	0	4
Operation	4	r[] <- 1:ncell(r)	r[] <- 1:ncell(r)	FALSE	FALSE	10.374	0	5
Operation	5	r	r	FALSE	FALSE	10.391	0	6
Operation	6	plot(r, main = "r", xlab = "Longitude (degrees)", ylab = "La	plot(r, main = "r", xlab = "Longitude (degrees)", ylab = "La	FALSE	FALSE	10.456	0	7
Operation	7	text(r)	text(r)	FALSE	FALSE	10.474	0	8
Operation	8	r[] <- 1	r[] <- 1	FALSE	FALSE	10.487	0	11
Operation	9	tr1 <- transition(r, transitionFunction = mean, directions =	tr1 <- transition(r, transitionFunction = mean, directions =	FALSE	FALSE	10.52	0	12
Operation	10	tr1	tr1	FALSE	FALSE	10.546	0	13
Operation	11	r[] <- runif(9)	r[] <- runif(9)	FALSE	FALSE	10.605	0	17
Operation	12	ncf <- function(x) max(x) - x[1] + x[2]	ncf <- function(x) max(x) - x[1] + x[2]	FALSE	FALSE	10.629	0	18
Start	13	tr2 <- transition(r, ncf, 4, symm = FALSE)	tr2 <- transition(r, ncf, 4, symm = FALSE)	FALSE	FALSE	10.647	0	19
Start	14	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	10.666	0	19
Binding	15	...  <-  newX[, i]		FALSE	FALSE	10.668	0	19
Binding	16	...  <-  ...		FALSE	FALSE	10.674	0	19
Operation	17	FUN	FUN	FALSE	FALSE	10.677	0	19
Operation	18	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	10.679	0	19
Operation	19	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	10.69	0	19
Finish	20	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	10.701	0	19
Start	21	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	10.702	0	19
Binding	22	...  <-  newX[, i]		FALSE	FALSE	10.704	0	19
Binding	23	...  <-  ...		FALSE	FALSE	10.709	0	19
Operation	24	FUN	FUN	FALSE	FALSE	10.712	0	19
Operation	25	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	10.714	0	19
Operation	26	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	10.725	0	19
Finish	27	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	10.736	0	19
Start	28	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	10.737	0	19
Binding	29	...  <-  newX[, i]		FALSE	FALSE	10.738	0	19
Binding	30	...  <-  ...		FALSE	FALSE	10.743	0	19
Operation	31	FUN	FUN	FALSE	FALSE	10.745	0	19
Operation	32	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	10.748	0	19
Operation	33	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	10.765	0	19
Finish	34	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	10.776	0	19
Start	35	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	10.778	0	19
Binding	36	...  <-  newX[, i]		FALSE	FALSE	10.779	0	19
Binding	37	...  <-  ...		FALSE	FALSE	10.783	0	19
Operation	38	FUN	FUN	FALSE	FALSE	10.787	0	19
Operation	39	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	10.79	0	19
Operation	40	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	10.8	0	19
Finish	41	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	10.811	0	19
Start	42	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	10.812	0	19
Binding	43	...  <-  newX[, i]		FALSE	FALSE	10.813	0	19
Binding	44	...  <-  ...		FALSE	FALSE	10.817	0	19
Operation	45	FUN	FUN	FALSE	FALSE	10.82	0	19
Operation	46	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	10.823	0	19
Operation	47	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	10.833	0	19
Finish	48	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	10.845	0	19
Start	49	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	10.846	0	19
Binding	50	...  <-  newX[, i]		FALSE	FALSE	10.848	0	19
Binding	51	...  <-  ...		FALSE	FALSE	10.852	0	19
Operation	52	FUN	FUN	FALSE	FALSE	10.855	0	19
Operation	53	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	10.859	0	19
Operation	54	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	10.869	0	19
Finish	55	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	10.88	0	19
Start	56	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	10.881	0	19
Binding	57	...  <-  newX[, i]		FALSE	FALSE	10.883	0	19
Binding	58	...  <-  ...		FALSE	FALSE	10.889	0	19
Operation	59	FUN	FUN	FALSE	FALSE	10.892	0	19
Operation	60	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	10.895	0	19
Operation	61	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	10.904	0	19
Finish	62	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	10.914	0	19
Start	63	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	10.916	0	19
Binding	64	...  <-  newX[, i]		FALSE	FALSE	10.918	0	19
Binding	65	...  <-  ...		FALSE	FALSE	10.924	0	19
Operation	66	FUN	FUN	FALSE	FALSE	10.927	0	19
Operation	67	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	10.93	0	19
Operation	68	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	10.94	0	19
Finish	69	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	10.95	0	19
Start	70	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	10.952	0	19
Binding	71	...  <-  newX[, i]		FALSE	FALSE	10.953	0	19
Binding	72	...  <-  ...		FALSE	FALSE	10.959	0	19
Operation	73	FUN	FUN	FALSE	FALSE	10.963	0	19
Operation	74	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	10.966	0	19
Operation	75	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	10.978	0	19
Finish	76	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	10.99	0	19
Start	77	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	10.991	0	19
Binding	78	...  <-  newX[, i]		FALSE	FALSE	10.993	0	19
Binding	79	...  <-  ...		FALSE	FALSE	10.998	0	19
Operation	80	FUN	FUN	FALSE	FALSE	11.001	0	19
Operation	81	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	11.005	0	19
Operation	82	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	11.016	0	19
Finish	83	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.027	0	19
Start	84	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.028	0	19
Binding	85	...  <-  newX[, i]		FALSE	FALSE	11.03	0	19
Binding	86	...  <-  ...		FALSE	FALSE	11.035	0	19
Operation	87	FUN	FUN	FALSE	FALSE	11.038	0	19
Operation	88	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	11.041	0	19
Operation	89	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	11.051	0	19
Finish	90	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.063	0	19
Start	91	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.064	0	19
Binding	92	...  <-  newX[, i]		FALSE	FALSE	11.066	0	19
Binding	93	...  <-  ...		FALSE	FALSE	11.072	0	19
Operation	94	FUN	FUN	FALSE	FALSE	11.075	0	19
Operation	95	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	11.078	0	19
