SpatialPoints:
                x        y
   [1,] -67.78882 44.73156
   [2,] -70.40394 43.79472
   [3,] -69.71906 45.63700
   [4,] -68.88248 46.90301
   [5,] -69.11622 44.04568
   [6,] -71.19224 43.17470
   [7,] -68.41445 44.71946
   [8,] -71.28448 44.38306
   [9,] -67.86874 44.01385
  [10,] -69.60424 43.83129
  [11,] -69.03924 46.79012
  [12,] -70.55629 43.20669
  [13,] -71.26870 44.70858
  [14,] -70.33028 44.52149
  [15,] -70.51773 44.40135
  [16,] -69.80721 44.08876
  [17,] -68.47176 46.82250
  [18,] -68.36447 45.03887
  [19,] -68.50558 45.29982
  [20,] -70.94650 43.88523
  [21,] -71.31811 43.69467
  [22,] -67.21340 45.25741
  [23,] -69.61905 44.08551
  [24,] -67.85731 44.21904
  [25,] -69.42633 45.41585
  [26,] -67.86459 44.03277
  [27,] -68.09434 44.97479
  [28,] -71.06903 44.29118
  [29,] -70.87791 43.76026
  [30,] -68.92771 44.34861
  [31,] -68.74226 46.74353
  [32,] -69.47768 45.69283
  [33,] -69.10771 44.38595
  [34,] -67.47920 45.15023
  [35,] -69.66230 45.62828
  [36,] -70.74763 43.55863
  [37,] -70.07445 44.18043
  [38,] -70.03146 43.74008
  [39,] -68.81487 46.41588
  [40,] -69.13765 44.50442
  [41,] -68.23432 46.68327
  [42,] -69.34987 44.84400
  [43,] -70.44904 43.54082
  [44,] -71.36520 44.67599
  [45,] -70.50727 43.68389
  [46,] -69.52407 44.23952
  [47,] -69.73563 45.25234
  [48,] -69.07345 45.62347
  [49,] -68.11208 47.15743
  [50,] -68.49999 46.50625
  [51,] -69.69955 44.87886
  [52,] -68.45633 46.82085
  [53,] -66.99958 45.13918
  [54,] -70.55528 43.73618
  [55,] -69.10131 45.30711
  [56,] -67.81125 46.80851
  [57,] -70.23156 44.54757
  [58,] -70.11295 43.46017
  [59,] -69.26990 45.01631
  [60,] -68.51585 45.17548
  [61,] -69.59837 44.66500
  [62,] -67.68078 44.50505
  [63,] -69.74051 45.75288
  [64,] -67.42944 44.96179
  [65,] -68.45762 44.20145
  [66,] -67.73585 44.98997
  [67,] -70.16299 43.77213
  [68,] -69.15852 44.11077
  [69,] -68.12712 47.12512
  [70,] -69.63694 44.22638
  [71,] -69.06044 44.46298
  [72,] -68.70126 47.16399
  [73,] -68.50717 44.38679
  [74,] -67.84906 44.49730
  [75,] -68.47509 45.13486
  [76,] -68.77473 44.89516
  [77,] -68.29275 45.06851
  [78,] -69.82102 44.15763
  [79,] -68.37859 45.30302
  [80,] -71.23622 43.32624
  [81,] -70.37653 44.40819
  [82,] -68.11760 46.49636
  [83,] -69.50869 44.43211
  [84,] -71.56485 43.42908
  [85,] -70.80546 44.13596
  [86,] -69.59009 45.65268
  [87,] -69.65203 44.76743
  [88,] -69.52020 43.68283
  [89,] -70.39456 43.57037
  [90,] -68.39171 46.48798
  [91,] -67.26034 45.20515
  [92,] -70.23961 44.37767
  [93,] -69.18506 44.96845
  [94,] -68.40126 44.74140
  [95,] -68.17574 46.67187
  [96,] -68.08976 44.79675
  [97,] -71.11441 43.69995
  [98,] -67.62444 45.38714
  [99,] -68.41823 46.59955
 [100,] -67.05659 45.08218
 [101,] -68.67069 46.99126
 [102,] -70.85594 43.22734
 [103,] -69.49195 45.61350
 [104,] -69.51952 44.44373
 [105,] -69.44052 43.60486
