SpatialPoints:
                x        y
   [1,] -71.66582 41.92902
   [2,] -71.44021 41.59698
   [3,] -72.82919 41.83483
   [4,] -73.03958 41.25596
   [5,] -68.73891 44.71061
   [6,] -69.16065 43.86421
   [7,] -68.75028 44.62130
   [8,] -73.72701 42.15004
   [9,] -71.11780 43.37858
  [10,] -70.08574 43.43852
  [11,] -70.10641 44.02108
  [12,] -70.62430 43.50407
  [13,] -69.54949 43.72441
  [14,] -69.81613 43.54803
  [15,] -72.19131 41.27149
  [16,] -70.47592 43.21456
  [17,] -69.66368 43.47608
  [18,] -70.17131 43.63638
  [19,] -71.83540 42.02753
  [20,] -72.35153 41.55282
  [21,] -72.90139 41.00891
  [22,] -72.69450 41.30727
  [23,] -70.29498 42.92324
  [24,] -72.97411 41.81741
  [25,] -68.60565 43.98276
  [26,] -68.61794 43.79023
  [27,] -73.44025 41.76292
  [28,] -73.62522 41.64349
  [29,] -72.33001 41.78946
  [30,] -71.07142 43.04380
  [31,] -68.51150 44.46508
  [32,] -69.60843 44.29738
  [33,] -72.98660 41.22017
  [34,] -68.34380 44.62908
  [35,] -72.83367 41.91193
  [36,] -72.85758 41.82322
  [37,] -73.60372 42.05736
  [38,] -72.85472 42.16174
  [39,] -70.19695 43.99519
  [40,] -69.25888 43.89197
  [41,] -72.72098 41.70372
  [42,] -68.85618 44.03655
  [43,] -70.17239 43.07623
  [44,] -69.43710 43.39361
  [45,] -72.40780 42.35070
  [46,] -69.55085 44.17848
  [47,] -71.86900 41.34821
  [48,] -69.52977 44.22567
  [49,] -73.03690 42.39735
  [50,] -70.19969 43.80723
  [51,] -71.73279 41.71556
  [52,] -73.47287 42.03021
  [53,] -72.10805 41.48064
  [54,] -69.97812 43.49247
  [55,] -72.44125 41.35427
  [56,] -69.45542 43.55263
  [57,] -72.12084 42.28488
  [58,] -70.40101 43.18854
  [59,] -68.89376 43.67719
  [60,] -72.60617 41.08503
  [61,] -72.57627 41.58196
  [62,] -73.06489 42.39819
  [63,] -72.87331 41.59446
  [64,] -72.20452 42.08258
  [65,] -69.94615 43.91893
  [66,] -72.08079 41.82702
  [67,] -71.06762 43.24273
  [68,] -68.49917 44.26900
  [69,] -69.88860 44.07525
  [70,] -73.02850 41.91785
  [71,] -73.03993 42.04289
  [72,] -73.56269 42.18880
  [73,] -68.26918 44.12144
  [74,] -68.82667 43.90926
  [75,] -71.48920 41.64483
  [76,] -72.96256 41.65114
  [77,] -71.12023 43.20111
  [78,] -68.63497 44.29661
  [79,] -68.69338 44.59020
  [80,] -69.33698 44.36789
  [81,] -69.32612 43.96916
  [82,] -73.05984 41.72296
  [83,] -72.92560 41.10068
  [84,] -70.44666 42.86149
  [85,] -70.46766 43.48921
  [86,] -71.89003 42.15584
  [87,] -70.75533 43.48023
  [88,] -68.46642 44.43782
  [89,] -72.63040 41.58640
  [90,] -70.84181 43.58444
  [91,] -69.71708 44.05223
  [92,] -72.33100 41.91451
  [93,] -71.98157 42.25810
  [94,] -72.76112 41.66087
  [95,] -72.49123 41.48753
  [96,] -73.00036 41.12249
  [97,] -70.39504 42.84093
  [98,] -73.54415 42.00271
  [99,] -72.63524 41.25151
 [100,] -71.93047 41.25869
 [101,] -69.91481 43.85662
 [102,] -68.72548 44.44914
 [103,] -69.30947 44.39445
 [104,] -72.83434 41.95165
 [105,] -71.38683 41.40478
 [106,] -71.79900 41.28440
 [107,] -71.32201 41.59062
 [108,] -68.69263 44.68239
 [109,] -72.96633 41.12592
 [110,] -72.04837 41.44320
 [111,] -73.32605 42.33949
 [112,] -70.68407 43.11750
 [113,] -70.90360 42.98849
 [114,] -73.28984 41.88074
 [115,] -69.67584 43.58471
 [116,] -73.36880 42.26590
 [117,] -70.11446 43.10656
 [118,] -68.86592 44.31151
 [119,] -72.09691 42.31700
 [120,] -69.15517 44.02981
 [121,] -73.06260 42.37624
 [122,] -72.88605 41.32493
 [123,] -72.23392 42.10348
 [124,] -72.11324 41.80556
 [125,] -68.62508 44.23964
 [126,] -70.22068 43.08148
 [127,] -73.03753 42.09793
 [128,] -68.71167 44.59275
 [129,] -72.38450 41.08691
 [130,] -73.11465 41.99328
 [131,] -70.89026 42.97307
 [132,] -72.28234 41.05583
 [133,] -69.36659 44.23839
 [134,] -71.54714 42.05005
 [135,] -71.94405 41.21408
 [136,] -69.06329 43.84466
 [137,] -70.37295 42.98649
 [138,] -68.64050 44.37870
 [139,] -71.16829 43.35417
 [140,] -69.23361 44.29990
 [141,] -71.49059 41.68874
 [142,] -72.68682 41.19166
 [143,] -72.69720 41.08200
 [144,] -68.93495 43.69844
 [145,] -69.93599 43.56805
 [146,] -72.95271 42.16369
 [147,] -72.65172 42.27051
 [148,] -71.97078 41.53660
 [149,] -69.32266 43.43860
 [150,] -73.82965 41.96859
 [151,] -70.27504 43.37012
 [152,] -69.26650 43.71973
 [153,] -71.48352 41.95508
 [154,] -69.37976 43.89465
 [155,] -72.59271 41.62370
 [156,] -73.38890 41.99249
 [157,] -68.54672 44.48768
 [158,] -70.10176 43.11748
 [159,] -68.96264 44.28466
 [160,] -70.81788 43.11833
 [161,] -70.46545 43.28271
 [162,] -72.42866 42.07116
 [163,] -72.57920 41.95983
 [164,] -72.87271 41.99372
 [165,] -71.84479 41.63769
 [166,] -69.66824 43.85383
 [167,] -68.85854 44.43810
 [168,] -73.14541 42.40342
 [169,] -70.32654 43.18880
 [170,] -71.90432 41.50690
 [171,] -69.01294 44.20307
 [172,] -71.61913 42.19351
 [173,] -72.37251 41.85932
 [174,] -70.93217 43.22393
 [175,] -70.31883 43.36956
 [176,] -69.69092 44.13598
 [177,] -71.40612 41.82981
 [178,] -73.36877 42.01684
 [179,] -69.10615 44.44497
 [180,] -72.14781 41.22809
 [181,] -72.11570 41.25754
 [182,] -68.43133 44.38851
 [183,] -69.98912 43.91956
 [184,] -72.76993 41.99344
 [185,] -72.16778 41.13554
 [186,] -70.56390 42.96381
 [187,] -72.80792 41.24619
 [188,] -68.89681 44.61371
 [189,] -73.53537 42.25862
 [190,] -73.58597 41.74360
 [191,] -72.88079 41.76764
 [192,] -72.01224 41.36351
 [193,] -72.16312 42.07400
 [194,] -69.03990 44.37850
 [195,] -69.43510 43.65655
 [196,] -71.74159 41.33958
 [197,] -69.42514 44.09505
 [198,] -68.18878 44.14560
 [199,] -72.50608 41.58396
 [200,] -71.98634 41.80768
 [201,] -72.84703 41.73261
 [202,] -69.19863 44.09117
 [203,] -71.70566 41.44096
 [204,] -73.33958 41.86505
 [205,] -70.17427 43.97441
 [206,] -71.56471 41.37728
 [207,] -68.95176 44.03962
 [208,] -70.28285 43.07425
 [209,] -69.33607 44.20280
 [210,] -72.93807 41.30713
 [211,] -73.35419 41.85586
 [212,] -72.15708 41.90995
 [213,] -72.62385 41.02097
 [214,] -68.32498 44.37178
 [215,] -68.30103 44.14244
 [216,] -73.03970 42.40267
 [217,] -69.48996 43.48575
 [218,] -72.72415 41.85298
 [219,] -68.74030 44.05446
 [220,] -72.59020 41.12624
 [221,] -73.57205 42.29726
 [222,] -72.21997 42.11077
 [223,] -73.18242 41.99344
 [224,] -70.74878 43.05888
 [225,] -73.59629 41.67011
 [226,] -72.52058 41.65790
 [227,] -70.65440 42.99451
 [228,] -71.75980 41.65807
 [229,] -71.12255 43.18321
 [230,] -68.51939 44.05957
 [231,] -68.46391 44.35713
 [232,] -73.18254 42.19398
 [233,] -72.10655 41.72144
 [234,] -72.99059 41.91721
 [235,] -71.99951 42.10655
 [236,] -68.16302 44.20693
 [237,] -68.47542 44.01873
 [238,] -69.22649 44.38506
 [239,] -70.24853 43.43016
 [240,] -72.15904 42.10426
 [241,] -71.97233 41.69565
 [242,] -71.95868 42.21269
 [243,] -69.29395 44.37449
 [244,] -72.48967 41.44462
 [245,] -73.75273 42.04700
 [246,] -70.72845 43.38590
 [247,] -68.69376 44.30888
 [248,] -70.44743 43.16941
