"ddg.type","ddg.num","ddg.name","ddg.value","ddg.scope","ddg.from.env","ddg.time","ddg.loc","ddg.current"
"Snapshot",1,"packs","./gENM_ddg/data/1-packs.csv","R_GlobalEnv",FALSE,"2016-07-28T14.17.44EDT","",TRUE
"Data",2,"symSum","#ddg.function","R_GlobalEnv",FALSE,"","",TRUE
"Data",3,"altDiff","#ddg.function","R_GlobalEnv",FALSE,"","",TRUE
"Data",4,"m","#ddg.function","R_GlobalEnv",FALSE,"","",TRUE
"Data",5,"gClust","#ddg.function","R_GlobalEnv",FALSE,"","",TRUE
"Data",6,"ENM","#ddg.function","R_GlobalEnv",FALSE,"","",TRUE
"Data",7,"gENM","#ddg.function","R_GlobalEnv",FALSE,"","",TRUE
"Data",8,"gAnalysis","#ddg.function","R_GlobalEnv",FALSE,"","",TRUE
"Snapshot",9,"mintemp.2006","./gENM_ddg/data/9-mintemp.2006.txt","R_GlobalEnv",FALSE,"2016-07-28T14.17.45EDT","",TRUE
"Snapshot",10,"mintemp.2050","./gENM_ddg/data/10-mintemp.2050.txt","R_GlobalEnv",FALSE,"2016-07-28T14.17.45EDT","",TRUE
"Snapshot",11,"mintemp.2099","./gENM_ddg/data/11-mintemp.2099.txt","R_GlobalEnv",FALSE,"2016-07-28T14.17.45EDT","",TRUE
"File",12,"RICTMEdukesnantucket.csv","./gENM_ddg/data/12-RICTMEdukesnantucket.csv","undefined",FALSE,"2016-07-28T14.17.45EDT","/Users/hermes/Projects/HF/projects/gENM/data/RICTMEdukesnantucket.csv",TRUE
"Snapshot",13,"gspecies","./gENM_ddg/data/13-gspecies.csv","R_GlobalEnv",FALSE,"2016-07-28T14.17.45EDT","",TRUE
"Snapshot",14,"gspecies","./gENM_ddg/data/14-gspecies.csv","R_GlobalEnv",FALSE,"2016-07-28T14.17.45EDT","",TRUE
"Snapshot",15,"mt.l","./gENM_ddg/data/15-mt.l.txt","R_GlobalEnv",FALSE,"2016-07-28T14.17.45EDT","",TRUE
"Snapshot",16,"x","./gENM_ddg/data/16-x.csv","0x7f97079aad48",FALSE,"2016-07-28T14.17.45EDT","",TRUE
"Snapshot",17,"vp","./gENM_ddg/data/17-vp.txt","0x7f97079aad48",FALSE,"2016-07-28T14.17.45EDT","",TRUE
"Snapshot",18,"x","./gENM_ddg/data/18-x.csv","0x7f97079aad48",FALSE,"2016-07-28T14.17.46EDT","",TRUE
"Snapshot",19,"gc","./gENM_ddg/data/19-gc.csv","0x7f97079aad48",FALSE,"2016-07-28T14.17.46EDT","",TRUE
"Snapshot",20,"y","./gENM_ddg/data/20-y.csv","0x7f97079aad48",FALSE,"2016-07-28T14.17.46EDT","",TRUE
"Snapshot",21,"kc","./gENM_ddg/data/21-kc.txt","0x7f97079aad48",FALSE,"2016-07-28T14.17.46EDT","",TRUE
"Data",22,"wss","12297.3504282078,852.128244466318,276.742360367648,160.441616409508,99.0532164677198,83.9127805247054,41.4093765095706,42.4923483775665,22.7575699902289,17.3913705292959","0x7f97079aad48",FALSE,"","",TRUE
"Data",23,"dw","0.930706354231258,0.046789419188937,0.00945738227410097,0.00499200216340703,0.00123119496605424,0.00345630583297358,8.80654637206877e-05,0.00160479922098258,0.000436370378502344","0x7f97079aad48",FALSE,"","",TRUE
"Data",24,"nc","3","0x7f97079aad48",FALSE,"","",TRUE
"Snapshot",25,"gClust(gspecies,mt.l[[1]]) return","./gENM_ddg/data/25-gClust(gspecies,mt.l[[1]]) return.csv","R_GlobalEnv",FALSE,"2016-07-28T14.17.46EDT","",TRUE
"Snapshot",26,"gc","./gENM_ddg/data/26-gc.csv","R_GlobalEnv",FALSE,"2016-07-28T14.17.46EDT","",TRUE
"Snapshot",27,"df.gsp","./gENM_ddg/data/27-df.gsp.csv","0x7f96eb58e590",FALSE,"2016-07-28T14.17.46EDT","",TRUE
"Snapshot",28,"groups","./gENM_ddg/data/28-groups.txt","0x7f96eb58e590",FALSE,"2016-07-28T14.17.46EDT","",TRUE
"Snapshot",29,"p","./gENM_ddg/data/29-p.txt","0x7f9704dcc308",FALSE,"2016-07-28T14.17.47EDT","",TRUE
"Snapshot",30,"circ","./gENM_ddg/data/30-circ.txt","0x7f9704dcc308",FALSE,"2016-07-28T14.17.50EDT","",TRUE
"Snapshot",31,"random","./gENM_ddg/data/31-random.txt","0x7f9704dcc308",FALSE,"2016-07-28T14.17.50EDT","",TRUE
"Snapshot",32,"gsp_bc","./gENM_ddg/data/32-gsp_bc.csv","0x7f9704dcc308",FALSE,"2016-07-28T14.17.50EDT","",TRUE
"Snapshot",33,"gsp_bc","./gENM_ddg/data/33-gsp_bc.csv","0x7f9704dcc308",FALSE,"2016-07-28T14.17.50EDT","",TRUE
"Snapshot",34,"random_bc","./gENM_ddg/data/34-random_bc.csv","0x7f9704dcc308",FALSE,"2016-07-28T14.17.51EDT","",TRUE
"Snapshot",35,"random","./gENM_ddg/data/35-random.csv","0x7f9704dcc308",FALSE,"2016-07-28T14.17.51EDT","",TRUE
