ddg.type	ddg.num	ddg.name	ddg.value	ddg.scope	ddg.from.env	ddg.time	ddg.loc	ddg.current
Snapshot	1	packs	./gENM_ddg/1-packs.csv	R_GlobalEnv	FALSE	2016-08-12T10.44.53EDT		TRUE
Data	2	symSum	#ddg.function	R_GlobalEnv	FALSE			TRUE
Data	3	altDiff	#ddg.function	R_GlobalEnv	FALSE			TRUE
Data	4	m	#ddg.function	R_GlobalEnv	FALSE			TRUE
Data	5	gClust	#ddg.function	R_GlobalEnv	FALSE			TRUE
Data	6	ENM	#ddg.function	R_GlobalEnv	FALSE			TRUE
Data	7	gENM	#ddg.function	R_GlobalEnv	FALSE			TRUE
Data	8	gAnalysis	#ddg.function	R_GlobalEnv	FALSE			TRUE
Data	9	gDensCurv	#ddg.function	R_GlobalEnv	FALSE			TRUE
Snapshot	10	mintemp.2006	./gENM_ddg/10-mintemp.2006.txt	R_GlobalEnv	FALSE	2016-08-12T10.44.54EDT		TRUE
Snapshot	11	mintemp.2050	./gENM_ddg/11-mintemp.2050.txt	R_GlobalEnv	FALSE	2016-08-12T10.44.55EDT		TRUE
Snapshot	12	mintemp.2099	./gENM_ddg/12-mintemp.2099.txt	R_GlobalEnv	FALSE	2016-08-12T10.44.56EDT		TRUE
File	13	RICTMEdukesnantucket.csv	./gENM_ddg/13-RICTMEdukesnantucket.csv	undefined	FALSE	2016-08-12T10.44.56EDT	/Users/hermes/Projects/HF/projects/gENM/data/RICTMEdukesnantucket.csv	TRUE
Snapshot	14	gsp	./gENM_ddg/14-gsp.csv	R_GlobalEnv	FALSE	2016-08-12T10.44.56EDT		TRUE
Snapshot	15	gsp	./gENM_ddg/15-gsp.csv	R_GlobalEnv	FALSE	2016-08-12T10.44.56EDT		TRUE
Snapshot	16	x	./gENM_ddg/16-x.csv	0x7f9f11288548	FALSE	2016-08-12T10.44.56EDT		TRUE
