"node","name","value","type","scope","line.in","line.out"
1,"packs","./gENM_ddg/1-packs.csv","Snapshot","R_GlobalEnv","1:1","1:4 1:5"
2,"symSum","#ddg.function","Data","R_GlobalEnv","1:11","33"
3,"altDiff","#ddg.function","Data","R_GlobalEnv","1:23","33"
4,"m","#ddg.function","Data","R_GlobalEnv","1:26","33"
5,"gClust","#ddg.function","Data","R_GlobalEnv","1:40","33"
6,"ENM","#ddg.function","Data","R_GlobalEnv","1:104","34"
7,"gENM","#ddg.function","Data","R_GlobalEnv","1:165","34"
8,"gAnalysis","#ddg.function","Data","R_GlobalEnv","1:185","35"
9,"gDensCurv","#ddg.function","Data","R_GlobalEnv","1:202","38"
10,"mintemp.2006","./gENM_ddg/10-mintemp.2006.txt","Snapshot","R_GlobalEnv","24","33 34 38"
11,"mintemp.2050","./gENM_ddg/11-mintemp.2050.txt","Snapshot","R_GlobalEnv","25","NA"
12,"mintemp.2099","./gENM_ddg/12-mintemp.2099.txt","Snapshot","R_GlobalEnv","26","NA"
13,"RICTMEdukesnantucket.csv","./gENM_ddg/13-RICTMEdukesnantucket.csv","File","undefined","NA","28"
14,"gsp","./gENM_ddg/14-gsp.csv","Snapshot","R_GlobalEnv","28","NA"
15,"gsp","./gENM_ddg/15-gsp.csv","Snapshot","R_GlobalEnv","29","33 34 38"
16,"x","./gENM_ddg/16-x.csv","Snapshot","0x7f9f11288548","33","33"
17,"vp","./gENM_ddg/17-vp.txt","Snapshot","0x7f9f11288548","33","33"
18,"x","./gENM_ddg/18-x.csv","Snapshot","0x7f9f11288548","33","NA"
19,"gc","./gENM_ddg/19-gc.csv","Snapshot","0x7f9f11288548","33","33"
20,"y","./gENM_ddg/20-y.csv","Snapshot","0x7f9f11288548","33","NA"
21,"kc","./gENM_ddg/21-kc.txt","Snapshot","0x7f9f11288548","33","NA"
22,"wss","12297.3504282078,852.128244466318,276.742360367648,160.441616409508,124.067546427854,83.9127805247054,50.2214028358114,27.1113757615262,19.3823213032813,17.1653232153729","Data","0x7f9f11288548","33","NA"
23,"dw","0.930706354231258,0.046789419188937,0.00945738227410097,0.00295787862548164,0.00326531850397964,0.00273972656838438,0.00187926880747215,0.000628513800868511,0.000180282582077441","Data","0x7f9f11288548","33","NA"
24,"nc","3","Data","0x7f9f11288548","33","NA"
25,"gClust(x=gsp,vp=mintemp.2006) return","./gENM_ddg/25-gClust(x=gsp,vp=mintemp.2006) return.csv","Snapshot","R_GlobalEnv","33","33"
26,"clust","./gENM_ddg/26-clust.csv","Snapshot","R_GlobalEnv","33","34"
27,"x","./gENM_ddg/27-x.csv","Snapshot","0x7f9f0f9431c8","34","34"
28,"clust","./gENM_ddg/28-clust.csv","Snapshot","0x7f9f0f9431c8","34","34"
29,"p","./gENM_ddg/29-p.txt","Snapshot","0x7f9f0f9431c8","34","34"
30,"df.gsp","./gENM_ddg/30-df.gsp.csv","Snapshot","0x7f9f0f9431c8","34","34"
31,"groups","./gENM_ddg/31-groups.txt","Snapshot","0x7f9f0f9431c8","34","34"
32,"p","./gENM_ddg/32-p.txt","Snapshot","0x7f9f118b8d80","34","34"
33,"circ","./gENM_ddg/33-circ.txt","Snapshot","0x7f9f118b8d80","34","34"
34,"random","./gENM_ddg/34-random.txt","Snapshot","0x7f9f118b8d80","34","34"
35,"gsp_bc","./gENM_ddg/35-gsp_bc.csv","Snapshot","0x7f9f118b8d80","34","34"
36,"gsp_bc","./gENM_ddg/36-gsp_bc.csv","Snapshot","0x7f9f118b8d80","34","34"
37,"random_bc","./gENM_ddg/37-random_bc.csv","Snapshot","0x7f9f118b8d80","34","34"
38,"random","./gENM_ddg/38-random.csv","Snapshot","0x7f9f118b8d80","34","34"
39,"random","./gENM_ddg/39-random.csv","Snapshot","0x7f9f118b8d80","34","34"
40,"random_bc","./gENM_ddg/40-random_bc.csv","Snapshot","0x7f9f118b8d80","34","34"
41,"random_bc","./gENM_ddg/41-random_bc.csv","Snapshot","0x7f9f118b8d80","34","34"
42,"me","./gENM_ddg/42-me.txt","Snapshot","0x7f9f118b8d80","34","34"
43,"e","./gENM_ddg/43-e.txt","Snapshot","0x7f9f118b8d80","34","34"
44,"pred_me","./gENM_ddg/44-pred_me.txt","Snapshot","0x7f9f118b8d80","34","34"
45,"out","./gENM_ddg/45-out.txt","Snapshot","0x7f9f118b8d80","34","34"
46,"FUN(X[[i]],...) return","./gENM_ddg/46-FUN(X[[i]],...) return.txt","Snapshot","R_GlobalEnv","34","NA"
47,"p","./gENM_ddg/47-p.txt","Snapshot","0x7f9f10d0b740","34","34"
