ddg.type	ddg.num	ddg.name	ddg.value	ddg.return.linked	ddg.auto.created	ddg.time	ddg.snum	ddg.lnum
Start	1	gENM.R	gENM.R	FALSE	FALSE	0.195999999999998	0	NA
Start	2	helpers.R	helpers.R	FALSE	FALSE	0.533999999999999	1	NA
Operation	3	packs <- c("gdistance", "fossil", "igraph", "rgbif", "mappro	packs <- c("gdistance", "fossil", "igraph", "rgbif", "mappro	FALSE	FALSE	0.542999999999999	1	1
Operation	4	lapply(packs[!(packs %in% installed.packages()[, "Package"])	lapply(packs[!(packs %in% installed.packages()[, "Package"])	FALSE	FALSE	0.675000000000004	1	4
Operation	5	all(unlist(lapply(packs, require, character.only = TRUE, qui	all(unlist(lapply(packs, require, character.only = TRUE, qui	FALSE	FALSE	0.745999999999995	1	5
Operation	6	symSum <- function(x = "matrix", zero.diag = TRUE) {    if (	symSum <- function(x = "matrix", zero.diag = TRUE) {    if (	FALSE	FALSE	0.82	1	11
Operation	7	altDiff <- function(x) {    x[2] - x[1]}	altDiff <- function(x) {    x[2] - x[1]}	FALSE	FALSE	0.841000000000001	1	23
Operation	8	m <- function(scd) {    (1 - (scd/max(scd)))}	m <- function(scd) {    (1 - (scd/max(scd)))}	FALSE	FALSE	0.857999999999997	1	26
Operation	9	gClust <- function(x = "coordinates", vp = "vector predictor	gClust <- function(x = "coordinates", vp = "vector predictor	FALSE	FALSE	0.921999999999997	1	40
Operation	10	ENM <- function(x = "coordinates", p = "predictors", c.rad =	ENM <- function(x = "coordinates", p = "predictors", c.rad =	FALSE	FALSE	0.980999999999995	1	104
Operation	11	gENM <- function(x = "coordinates", clust = "gen clusters", 	gENM <- function(x = "coordinates", clust = "gen clusters", 	FALSE	FALSE	1.015	1	165
Operation	12	gAnalysis <- function(x = "gENM output", filename = "../resu	gAnalysis <- function(x = "gENM output", filename = "../resu	FALSE	FALSE	1.052	1	185
Operation	13	gDensCurv <- function(x = "coordinates", p = "mintemp.2006",	gDensCurv <- function(x = "coordinates", p = "mintemp.2006",	FALSE	FALSE	1.113	1	202
Finish	14	helpers.R	helpers.R	FALSE	FALSE	1.14	1	NA
Operation	15	mintemp.2006 <- raster("../data/01_01_2006.tiff")	mintemp.2006 <- raster("../data/01_01_2006.tiff")	FALSE	FALSE	1.161	0	24
Operation	16	mintemp.2050 <- raster("../data/01_01_2050.tiff")	mintemp.2050 <- raster("../data/01_01_2050.tiff")	FALSE	FALSE	2.215	0	25
Operation	17	mintemp.2099 <- raster("../data/01_01_2099.tiff")	mintemp.2099 <- raster("../data/01_01_2099.tiff")	FALSE	FALSE	2.96	0	26
