"Species","Cluster","Population","ID","Latitude","Longitude","LTRS","WNT","EN","EF","ZMP","AML","ATPS","MP20"
"Peninsula","NBP-C","88","88_11A",29.32541,-114.29353,"01:01","","02:04","01:02","","","09:09","07:07"
"Peninsula","NBP-C","88","88_12A",29.32541,-114.29353,"01:01","01:03","01:01","01:01","01:01","08:09","09:09","07:07"
"Peninsula","NBP-C","88","88_13A",29.32541,-114.29353,"01:01","01:03","01:01","01:01","01:01","08:09","09:09","05:07"
"Peninsula","NBP-C","88","88_14A",29.32541,-114.29353,"01:01","01:01","01:02","01:01","01:01","08:09","09:09","07:07"
"Peninsula","NBP-C","88","88_15A",29.32541,-114.29353,"01:01","01:03","01:02","01:01","01:01","08:09","09:09","05:05"
"Peninsula","NBP-C","88","88_16A",29.32541,-114.29353,"01:01","01:01","01:02","01:01","01:01","09:09","09:09","07:07"
"Peninsula","NBP-C","88","88_17A",29.32541,-114.29353,"01:01","01:01","01:02","01:01","01:01","07:09","09:09","05:07"
"Peninsula","NBP-C","88","88_18A",29.32541,-114.29353,"01:01","01:01","01:02","01:01","01:01","07:07","09:09","05:07"
"Peninsula","NBP-C","88","88_19A",29.32541,-114.29353,"01:01","01:03","01:02","01:01","01:01","09:10","09:09","07:07"
"Peninsula","NBP-C","88","88_20A",29.32541,-114.29353,"01:01","01:01","01:01","01:01","01:02","07:08","09:09","07:07"
"Peninsula","NBP-C","9","9_0A",29.01457,-113.94486,"01:01","01:01","01:02","01:01","01:01","06:09","09:09","07:07"
"Peninsula","NBP-C","9","9_1A",29.01457,-113.94486,"01:01","01:01","01:02","01:01","01:01","09:09","09:09","07:07"
"Peninsula","NBP-C","9","9_2A",29.01457,-113.94486,"01:01","01:01","01:02","01:01","01:01","09:09","09:09","07:07"
"Peninsula","NBP-C","9","9_3A",29.01457,-113.94486,"01:01","01:01","01:02","01:01","01:01","06:06","09:09","07:07"
"Peninsula","NBP-C","9","9_11A",29.01457,-113.94486,"01:01","01:03","01:02","01:01","01:01","09:09","07:09","05:07"
"Peninsula","NBP-C","9","9_12A",29.01457,-113.94486,"01:01","01:01","01:01","01:01","01:01","09:09","09:09","07:07"
"Peninsula","NBP-C","9","9_16A",29.01457,-113.94486,"01:01","01:03","01:01","01:01","01:01","09:10","05:09","07:07"
"Peninsula","NBP-C","9","9_17A",29.01457,-113.94486,"01:01","01:01","01:02","01:01","01:01","07:09","09:09","07:07"
"Peninsula","NBP-C","9","9_18A",29.01457,-113.94486,"01:01","01:03","01:01","01:01","01:01","09:09","09:09","07:07"
"Peninsula","NBP-C","84","84_11A",28.96651,-113.66787,"01:01","01:03","01:01","01:01","01:01","09:09","09:09","05:07"
"Peninsula","NBP-C","84","84_12A",28.96651,-113.66787,"01:01","01:01","01:01","01:01","01:02","08:09","09:09","05:15"
"Peninsula","NBP-C","84","84_13A",28.96651,-113.66787,"01:01","01:01","01:02","01:01","01:01","07:09","07:09","07:07"
"Peninsula","NBP-C","84","84_14A",28.96651,-113.66787,"01:01","","01:01","01:02","","","05:09","07:07"
"Peninsula","NBP-C","84","84_15A",28.96651,-113.66787,"01:01","01:01","01:05","01:01","01:01","07:07","09:09","07:07"
"Peninsula","NBP-C","84","84_16A",28.96651,-113.66787,"01:01","01:01","01:01","01:01","01:01","09:09","09:09","07:07"
"Peninsula","NBP-C","84","84_17A",28.96651,-113.66787,"01:01","01:01","01:02","01:01","01:01","07:09","09:09","05:05"
"Peninsula","NBP-C","84","84_18A",28.96651,-113.66787,"01:01","01:01","01:02","01:01","01:01","09:09","09:09","05:07"
"Peninsula","NBP-C","84","84_20A",28.96651,-113.66787,"01:01","01:03","01:05","01:01","01:01","09:09","07:09","07:07"
"Peninsula","NBP-C","175","175_1A",28.72796,-113.48973,"01:01","01:01","01:02","01:01","01:02","08:09","09:09","05:07"
"Peninsula","NBP-C","175","175_2A",28.72796,-113.48973,"01:01","01:01","01:02","01:01","01:01","09:09","09:09","05:07"
"Peninsula","NBP-C","175","175_3A",28.72796,-113.48973,"01:01","01:01","01:01","01:01","02:02","09:09","09:09","05:05"
"Peninsula","NBP-C","175","175_4A",28.72796,-113.48973,"01:01","01:03","01:01","01:01","01:02","06:09","09:09","07:07"
"Peninsula","NBP-C","175","175_5A",28.72796,-113.48973,"01:01","01:01","01:01","01:01","02:02","08:09","09:09","05:07"
"Peninsula","NBP-C","175","175_6A",28.72796,-113.48973,"01:01","01:01","01:01","01:01","02:02","08:08","09:09","07:07"
"Peninsula","NBP-C","175","175_7A",28.72796,-113.48973,"01:01","03:03","01:02","01:01","02:02","09:10","09:09","05:07"
"Peninsula","NBP-C","177","177_1A",28.66056,-113.99141,"01:01","01:03","01:01","01:01","02:02","07:07","09:09","05:07"
"Peninsula","NBP-C","177","177_2A",28.66056,-113.99141,"01:01","01:01","01:01","01:01","02:02","06:09","09:09","05:07"
"Peninsula","NBP-C","177","177_3A",28.66056,-113.99141,"01:01","01:03","01:01","01:01","02:02","07:09","09:09","07:07"
