"Cluster","Population","Longitude","Latitude"
"NBP-C","88",-114.29353,29.32541
"NBP-C","9",-113.94486,29.01457
"NBP-C","84",-113.66787,28.96651
"NBP-C","175",-113.48973,28.72796
"NBP-C","177",-113.99141,28.66056
"NBP-C","173",-112.86985,28.40846
"NBP-C","171",-113.18263,28.22308
"NBP-C","89",-113.39991,28.03661
"NBP-C","159",-113.31609,27.52944
"CBP-C","SFr",-112.964,27.3632
"CBP-C","160",-112.52959,27.40498
"CBP-C","162",-112.408,27.2028
"CBP-C","12",-112.66552,27.18232
"CBP-C","161",-112.986,27.0367
"CBP-C","93",-112.04613,26.94589
"CBP-C","165",-112.40948,26.24905
"CBP-C","169",-111.37833,26.20876
"CBP-C","58",-111.35475,26.0155
"CBP-C","166",-112.08062,25.91409
"SCBP-A","166",-112.08062,25.91409
"CBP-C","64",-111.32638,25.60521
"CBP-C","168",-111.21563,25.55757
"CBP-C","51",-111.60056,25.34819
"SCBP-A","Const",-111.675,25.0247
"CBP-C","Const",-111.675,25.0247
"CBP-C","77",-110.69175,24.87611
"SCBP-A","77",-110.69175,24.87611
"SCBP-A","164",-111.5441,24.74642
"CBP-C","164",-111.5441,24.74642
"SCBP-A","75",-110.74599,24.58843
"SBP-C","75",-110.74599,24.58843
"SCBP-A","163",-110.951,24.2115
"SBP-C","163",-110.951,24.2115
"SBP-C","ESan",-110.36857,24.45879
"SCBP-A","ESan",-110.36857,24.45879
"CBP-C","153",-110.46236,24.13389
"SCBP-A","48",-110.27252,24.21441
"SCBP-A","156",-109.989,24.0438
"SCBP-A","157",-110.096,24.0195
"SBP-C","157",-110.096,24.0195
"SBP-C","73",-109.85071,24.00789
"SCBP-A","73",-109.85071,24.00789
"SCBP-A","Aqu",-110.10429,23.2855
"SBP-C","Aqu",-110.10429,23.2855
"CBP-C","Aqu",-110.10429,23.2855
"SCBP-A","Mat",-110.1091,23.08984
"CBP-C","Mat",-110.1091,23.08984
"SBP-C","98",-109.64869,23.0757
"SCBP-A","98",-109.64869,23.0757
"SON-B","101",-110.57436,27.90509
"SON-B","32",-109.327,26.63783
"SON-B","102",-109.12633,26.38014
