"X"	"Y"	"maxTwarmest.baseline"	"maxTwarmest.2050"
-10.25	52.083	14.7	16.1
-10.25	51.917	14.7	16.1
-10.25	52.083	14.8	16.2
-10.25	52.25	14.1	15.4
-10.083	51.75	14.7	16.2
-10.083	51.917	14.5	16
-10.083	52.083	14.5	15.9
-10.083	52.25	14.2	15.5
-10.083	53.417	14.8	16.3
-10.083	53.583	14.5	15.9
-10.083	53.917	14.1	15.5
-10.083	54.25	14.3	15.5
-9.917	51.75	14.8	16.2
-9.917	51.917	14.3	15.8
-9.917	52.083	15	16.4
-9.917	52.25	14.4	15.8
-9.917	53.417	14.6	16.2
-9.917	53.583	14	15.6
-9.917	53.75	14.4	15.9
-9.917	53.917	14.1	15.5
-9.917	54.083	14.4	15.7
-9.917	54.25	14.3	15.6
-9.75	51.583	15.1	16.6
-9.75	51.75	14.6	16.2
-9.75	51.917	14.3	15.9
-9.75	52.083	14.9	16.5
-9.75	52.25	14.8	16.3
-9.75	52.417	15.1	16.6
-9.75	52.583	15.3	16.8
-9.75	53.417	14.5	16.2
-9.75	53.583	13.8	15.4
-9.75	53.75	14	15.6
-9.75	53.917	14	15.5
-9.75	54.083	14	15.4
-9.75	54.25	14.1	15.4
-9.583	51.583	15.2	16.8
-9.583	51.75	14.6	16.3
-9.583	51.917	14.6	16.3
-9.583	52.083	15	16.7
-9.583	52.25	15	16.7
-9.583	52.417	15.1	16.8
-9.583	52.583	15.2	16.9
-9.583	52.75	15.4	17.1
-9.583	53.25	15.1	16.9
-9.583	53.417	14.5	16.2
-9.583	53.583	13.8	15.4
-9.583	53.75	14.1	15.7
-9.583	53.917	14.1	15.6
-9.583	54.083	13.9	15.4
-9.583	54.25	13.8	15.3
-9.417	38.75	22.6	24.3
-9.417	38.917	22.6	24.9
-9.417	39.083	22.8	25
-9.417	51.583	15.3	17
-9.417	51.75	14.7	16.5
-9.417	51.917	14.3	16.1
-9.417	52.083	14.9	16.7
-9.417	52.25	14.8	16.6
-9.417	52.417	15.1	16.9
-9.417	52.583	15.4	17.2
-9.417	52.75	15.3	17.1
-9.417	52.917	15	16.8
-9.417	53.25	14.9	16.7
-9.417	53.417	14.6	16.3
-9.417	53.583	14.5	16.2
-9.417	53.75	14.3	15.9
-9.417	53.917	14.2	15.7
-9.417	54.083	14.1	15.6
-9.417	54.25	13.9	15.4
-9.25	38.583	23.1	25.2
-9.25	38.75	22.8	25.2
-9.25	38.917	22.5	25.6
-9.25	39.083	22.9	26.3
-9.25	39.25	22.7	25.9
-9.25	39.417	22.7	26
-9.25	42.917	19.1	22.4
-9.25	43.083	18.9	22.2
-9.25	51.583	15.3	17.2
-9.25	51.75	14.6	16.6
-9.25	51.917	14.5	16.4
-9.25	52.083	14.6	16.6
-9.25	52.25	14.5	16.3
-9.25	52.417	15	16.8
-9.25	52.583	15.4	17.2
-9.25	52.75	15.2	17
-9.25	52.917	15.1	17
-9.25	53.083	14.8	16.6
-9.25	53.25	14.9	16.8
-9.25	53.417	14.9	16.7
-9.25	53.583	14.8	16.5
-9.25	53.75	14.6	16.3
-9.25	53.917	14.4	16
-9.25	54.083	14.5	16
-9.25	54.25	14.4	15.8
-9.083	38.417	23	25.2
-9.083	38.583	23.5	25.7
-9.083	38.75	23.5	26.1
-9.083	38.917	23	26.4
-9.083	39.083	22.8	26.5
-9.083	39.25	22.8	26.6
-9.083	39.417	22.8	26.4
-9.083	39.583	22.7	26.2
-9.083	42.583	19.8	23.1
-9.083	42.75	19.2	22.7
-9.083	42.917	18.3	21.9
-9.083	43.083	18.6	22.1
-9.083	51.583	15.2	17.2
-9.083	51.75	15.1	17.2
-9.083	51.917	14.8	16.9
-9.083	52.083	14.9	16.9
-9.083	52.25	14.6	16.5
